설정,CAGR%,기준 CAGR%,Sharpe,기준 Sharpe,MDD%,기준 MDD%,회전율,기준 회전율,발동일,전량복원청산,ΔSh (CI),25bp ΔSh,판정
R0 L0 + 유지선 복원,7.63,7.63,0.45,0.45,-29.5,-29.5,10.82,10.82,0,0,+0.000 (+0.000~+0.000),0.0,PASS
R1 L0 + 유지선 복원 · 실계좌 최소주문,8.64,8.64,0.489,0.489,-37.5,-37.5,10.77,10.77,0,0,+0.000 (+0.000~+0.000),0.0,PASS
