trim,total_return_pct,sharpe,trades,vol_ann_pct,downside_dev_pct,mdd_pct,es5_daily_pct,worst_day_pct,mean_stock_weight_pct,warmup_days
위험타겟30% · 비례축소 · warmup_cap=1.0,102.1,1.015,346,26.77,18.83,-23.99,-3.797,-6.82,76.0,27
위험타겟30% · 평가액 큰 순 축소(실전 방식),117.86,1.112,353,26.68,18.51,-23.81,-3.717,-7.35,76.3,27
