설정,CAGR%,Sharpe,MDD%,Calmar,평균주식비중%,연turnover,Sh 15~20,Sh 21~26,Sh 25bp,Sh 편향99~14,ΔSh,ΔSh CI,DSR,편향구간 방향,판정
L0 현행(운영 근사),7.63,0.45,-29.5,0.26,86,10.8,0.578,0.345,0.225,1.076,,,,,
D1 진입 지연 1일,10.4,0.566,-24.9,0.42,85,10.8,0.487,0.64,0.417,1.029,0.116,-0.059~+0.294,0.437,반대,REJECT
D2 진입 지연 3일,12.74,0.666,-28.2,0.45,85,10.8,0.723,0.621,0.515,1.103,0.216,+0.050~+0.387,0.728,같음,CANDIDATE
D3 진입 지연 5일,12.76,0.663,-27.1,0.47,85,10.8,0.759,0.585,0.547,1.006,0.213,-0.003~+0.429,0.663,반대,CANDIDATE
D4 눌림 확인 (5일수익률<0),10.19,0.588,-26.9,0.38,82,10.5,0.594,0.586,0.397,1.118,0.138,-0.113~+0.410,0.231,같음,CANDIDATE
D5 순위=최근5일 제외 20일 모멘텀,12.87,0.68,-24.9,0.52,84,10.5,0.664,0.699,0.548,1.12,0.23,+0.013~+0.441,0.713,같음,CANDIDATE
