,누적%,CAGR%,변동성%,Sharpe,MDD%,Alpha CAGR차%p,Jensen α%/년,β,매매 수,승률%,평균 이익%,평균 손실%,평균 손익비,Profit Factor,평균 보유일
전략,89.60154440084425,5.630841897229155,25.192349757702655,0.34393090507732893,-56.21674756056,-13.104735735598359,-1.3735040792045714,0.5126311358860605,574.0,33.275261324041814,9.178910442881696,-3.648122744332171,2.516064037906158,1.254747340052418,10.939024390243903
QQQ 매수보유,643.0157335611838,18.735577632827514,21.903532425645654,0.8939744302774701,-35.11871838384024,0.0,0.0,1.0,,,,,,,
QQQ 200일선 타이밍,341.61167596920717,13.561946979965622,16.315379446150793,0.8615629867787303,-24.03289445941428,-5.173630652861892,3.2076162757039786,0.5540575614405743,,,,,,,
전략 (슬리피지 0.25%),2.3010120463312855,0.1949857635516805,25.303148906115247,0.13478258650531505,-62.82447246142897,-18.540591869275833,-6.682450954129739,0.5154370458334544,575.0,30.26086956521739,9.656124966764676,-3.8174257975017967,2.5294859622638497,1.0975824374910472,10.91304347826087
