설정,CAGR%,Sharpe,MDD%,Calmar,평균주식비중%,연turnover,Sh 15~20,Sh 21~26,Sh 25bp,Sh 편향99~14,ΔSh,ΔSh CI,DSR,편향구간 방향,판정
L0 현행(운영 근사),7.63,0.45,-29.5,0.26,86,10.8,0.578,0.345,0.225,1.076,,,,,
만기 40일 (표본 외 근거 있음),13.93,0.693,-28.2,0.49,85,5.5,0.921,0.499,0.627,1.236,0.243,+0.029~+0.468,0.626,같음,CANDIDATE
X14 상위20 연장·시계 리셋 (백테스트 형태),15.0,0.746,-30.9,0.49,85,7.4,0.811,0.697,0.642,1.168,0.296,+0.083~+0.506,0.899,같음,CANDIDATE
X14L 상위20 연장·매일 재확인 (운영 형태),12.3,0.65,-24.3,0.51,86,9.6,0.618,0.684,0.515,1.023,0.2,+0.015~+0.393,0.48,반대,CANDIDATE
X14L 상위10 연장·매일 재확인,10.42,0.567,-27.6,0.38,86,10.0,0.63,0.52,0.48,1.002,0.116,-0.067~+0.299,0.289,반대,CANDIDATE
X14L 상위30 연장·매일 재확인,13.7,0.7,-22.9,0.6,85,8.9,0.619,0.776,0.575,0.985,0.25,+0.058~+0.444,0.658,반대,CANDIDATE
X14L 상위40 연장·매일 재확인,11.58,0.609,-29.8,0.39,85,8.8,0.76,0.493,0.494,1.023,0.159,-0.055~+0.366,0.39,반대,CANDIDATE
X14L+40 만기40·상위20·매일 재확인,10.38,0.555,-33.8,0.31,86,5.1,0.9,0.266,0.621,1.181,0.105,-0.148~+0.377,0.219,같음,REJECT
