설정,CAGR%,Sharpe,MDD%,Calmar,평균주식비중%,연turnover,Sh 15~20,Sh 21~26,Sh 25bp,Sh 편향99~14,ΔSh,ΔSh CI,DSR,편향구간 방향,판정
L0 현행(운영 근사),7.63,0.45,-29.5,0.26,86,10.8,0.578,0.345,0.225,1.076,,,,,
P1 종목별 20일수익>0,5.9,0.594,-15.4,0.38,55,3.2,0.786,0.399,0.503,0.928,0.144,-0.178~+0.464,0.031,반대,CANDIDATE
P2 종목별 12-1개월>0,9.95,0.744,-25.3,0.39,67,1.1,0.847,0.625,0.722,1.036,0.294,-0.021~+0.659,0.18,반대,CANDIDATE
P3 종목별 종가>200일선,8.37,0.735,-18.4,0.45,63,1.3,0.856,0.597,0.704,1.013,0.285,-0.001~+0.588,0.091,반대,CANDIDATE
P4 P2 + 변동성 역가중,9.1,0.73,-24.9,0.37,70,1.9,0.83,0.607,0.685,0.983,0.28,-0.067~+0.660,0.129,반대,CANDIDATE
P5 P2 + 지수 하락 시 노출×0.5,7.81,0.654,-25.3,0.31,62,1.2,0.762,0.521,0.626,1.085,0.204,-0.132~+0.582,0.077,같음,CANDIDATE
P6 P1 + 지수 하락 시 노출×0.5,4.57,0.502,-17.4,0.26,51,3.1,0.71,0.274,0.409,0.972,0.052,-0.281~+0.364,0.015,반대,REJECT
