조건(보유 중),해당건수,해당 초과%,비해당 초과%,날짜별차이%,t,비교일
고점대비 -10% 이하,177,-0.09,0.41,-0.4,-0.31,77
고점대비 -15% 이하,76,-0.53,0.39,-0.91,-0.39,42
매수가대비 -10% 이하,131,-0.59,0.44,-1.36,-0.85,68
20일수익률 음전,281,0.04,0.42,-0.82,-0.98,98
50일선 하회,168,-0.17,0.41,-0.53,-0.39,72
RSI14 > 80,39,-0.16,0.36,-2.27,-0.97,27
RSI14 < 40,86,0.51,0.33,-0.05,-0.03,43
볼린저%b > 1,85,-0.29,0.38,-0.42,-0.37,50
MACD히스토 < 0,871,0.06,0.83,-0.78,-1.01,120
