조건(보유 중),해당건수,해당 초과%,비해당 초과%,날짜별차이%,t,비교일
고점대비 -10% 이하,94,0.47,0.07,-0.4,-0.43,50
고점대비 -15% 이하,29,-1.31,0.12,-2.96,-1.19,18
매수가대비 -10% 이하,67,0.09,0.09,-1.26,-1.14,41
20일수익률 음전,278,0.58,-0.03,0.82,1.16,100
50일선 하회,161,0.33,0.06,0.18,0.27,71
RSI14 > 80,35,0.52,0.08,0.21,0.16,28
RSI14 < 40,75,0.05,0.09,-0.27,-0.33,46
볼린저%b > 1,59,-0.03,0.1,-0.59,-0.67,38
MACD히스토 < 0,939,0.25,-0.22,0.64,1.6,125
