사유,건수,매도후10일%,지수대비10일%,매도후20일%,지수대비20일%,매도후20일 상승비율%
만기,1332,0.75,-0.11,1.31,-0.11,54.2
추적손절,188,1.52,1.11,1.63,0.34,49.5
