설정,CAGR%,Sharpe,MDD%,Calmar,평균주식비중%,연turnover,Sh 15~20,Sh 21~26,Sh 25bp,Sh 편향99~14,ΔSh,ΔSh CI,DSR,편향구간 방향,판정
L0 현행(운영 근사),7.63,0.45,-29.5,0.26,86,10.8,0.578,0.345,0.225,1.076,,,,,
B0 12-1개월 · 버퍼 없음(상위5),30.21,0.88,-60.2,0.5,99,3.4,1.045,0.771,0.85,1.021,0.43,+0.042~+0.818,0.696,반대,CANDIDATE
B1 12-1개월 · 버퍼 상위10,29.6,0.885,-59.0,0.5,99,2.4,1.135,0.692,0.865,0.882,0.435,+0.046~+0.829,0.69,반대,CANDIDATE
B2 20일 상위20 중 꾸준함 · 버퍼 10,13.11,0.602,-45.2,0.29,100,10.4,0.761,0.468,0.482,0.608,0.151,-0.203~+0.487,0.136,반대,CANDIDATE
