지표,표본일,평균IC,t,IC>0비율%,상위10%초과%,하위10%초과%
mom20,75,-0.033,-1.67,40.0,0.06,0.44
mom60,75,0.0088,0.45,52.0,0.94,0.08
mom126,75,0.0408,1.76,65.3,1.21,-0.34
mom12_1,75,0.037,1.53,56.0,1.31,-0.01
mom20_vadj,75,-0.0309,-1.67,44.0,-0.27,0.25
nh52,75,0.0122,0.49,50.7,-0.13,0.1
lowvol,75,-0.0134,-0.6,53.3,-0.17,0.15
rsi14,75,-0.0285,-1.4,42.7,-0.02,0.15
dist50,75,-0.0156,-0.74,48.0,0.2,0.05
dist200,75,0.0284,1.23,61.3,1.25,-0.25
ret5,75,-0.0522,-2.52,29.3,-0.63,0.31
bbp,75,-0.0401,-2.03,37.3,-0.59,0.27
macdh,75,-0.0657,-3.36,33.3,-0.72,0.42
