variant,kind,total_return_pct,vol_ann_pct,downside_dev_pct,mdd_pct,es5_daily_pct,worst_day_pct,mean_stock_weight_pct,warmup_days,sharpe,d_return_pp,d_vol_pp,return_given_up_per_vol_pp
기준선(노출 제한 없음),기준,155.74,29.56,20.61,-31.31,-4.165,-7.64,,0,1.213,0.0,0.0,
C1 위험타겟30%(비례),후보,102.1,26.77,18.83,-23.99,-3.797,-6.82,76.0,27,1.015,-53.64,-2.79,19.22
단순 현금혼합 75% (사전 지정),대조·사전,149.7,23.77,15.85,-24.59,-3.15,-6.6,69.4,0,1.409,-6.03,-5.79,1.04
단순 현금혼합 76% (C1 실현 노출에 맞춤),대조·**사후 진단**,168.41,25.57,17.14,-24.57,-3.384,-7.71,70.3,0,1.422,12.68,-3.99,-3.18
