설정,CAGR%,Sharpe,MDD%,Calmar,평균주식비중%,연turnover,Sh 15~20,Sh 21~26,Sh 25bp,Sh 편향99~14,ΔSh,ΔSh CI,DSR,편향구간 방향,판정
L0 현행(운영 근사),7.63,0.45,-29.5,0.26,86,10.8,0.578,0.345,0.225,1.076,,,,,
F1 순위=20일 잔차 모멘텀,10.34,0.61,-23.4,0.44,84,10.7,0.729,0.5,0.361,0.833,0.16,-0.113~+0.466,0.33,반대,CANDIDATE
F2 순위=12-1개월 잔차 모멘텀,12.18,0.714,-27.6,0.44,70,9.1,0.976,0.5,0.569,1.02,0.264,-0.089~+0.648,0.423,반대,CANDIDATE
F3 모멘텀 상위20 중 꾸준함(id20) 순,13.76,0.797,-19.5,0.71,83,10.6,0.764,0.83,0.625,0.936,0.347,+0.083~+0.622,0.682,반대,CANDIDATE
