사유,건수,매도후10일%,지수대비10일%,매도후20일%,지수대비20일%,매도후20일 상승비율%
50일선이탈,1637,1.2,-0.32,2.62,-0.86,63.2
만기,1068,0.84,0.19,1.28,0.22,54.3
