사유,건수,매도후10일%,지수대비10일%,매도후20일%,지수대비20일%,매도후20일 상승비율%
만기,1289,0.77,0.09,1.3,-0.14,54.4
손절,288,0.14,-0.67,1.48,-0.37,51.4
