설정,거래,전체 BPR_대조%,전체 BPR_대조 월t,전체 대조군대비%,전체 대조군대비 월t,평상 BPR_대조%,평상 BPR_대조 월t,평상 대조군대비%,평상 대조군대비 월t
L0 현행(운영 근사),1441,1.84,10.34,-0.22,-0.6,2.49,14.4,-0.02,-0.06
D1 진입 지연 1일,1440,1.31,6.9,0.09,0.23,1.97,11.8,0.37,0.85
D2 진입 지연 3일,1445,0.76,4.68,0.32,0.87,1.27,8.3,0.64,1.6
D3 진입 지연 5일,1440,0.25,1.6,0.41,1.12,0.69,4.47,0.66,1.6
D4 눌림 확인 (5일수익률<0),1424,-0.49,-3.96,0.24,0.95,-0.28,-2.31,0.4,1.51
D5 순위=최근5일 제외 20일 모멘텀,1442,0.4,2.56,0.38,1.07,0.78,5.03,0.74,1.88
