사유,건수,매도후10일%,지수대비10일%,매도후20일%,지수대비20일%,매도후20일 상승비율%
만기,786,0.74,0.13,1.04,0.04,52.9
모멘텀음전,2035,1.04,-0.24,2.0,-0.8,59.1
