구성,기간,CAGR%,연변동성%,Sharpe,MDD%,Calmar,연turnover,평균주식비중%
현행 L0 (편도 10bp),1999-01~2014-12,24.69,23.0,1.076,-45.4,0.54,11.0,85.0
NDX 지수 매수보유(가격),1999-01~2014-12,5.31,30.8,0.321,-82.9,0.06,,
